지진ID,구분,구분명,전송시각,진원시,위도 (단위:`N),경도 (단위:`E),규모 (리히터 기준),진앙지,등록일자,깊이 (단위:KM)
2.02E+11,1,지진정보,2.02E+11,2.02E+13,37.26,126.1,2.3,인천 옹진군 서남서쪽 52km 지역,2022-04-18 14:27,11
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.22,128.6,2.3,경남 창원시 마산회원구 동쪽 2km 지역,2022-04-17 23:37,9
2.02E+11,1,지진정보,2.02E+11,2.02E+13,34.75,127.26,2.6,전남 고흥군 북쪽 16km 지역,2022-04-16 2:13,18
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.5,5,일본 오키나와현 오키나와 서북서쪽 134km 해역,2022-04-14 9:41,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.4,5.7,일본 오키나와현 오키나와 서북서쪽 143km 해역,2022-04-13 10:35,20
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.82,129.47,2.4,경북 울진군 남남동쪽 20km 해역,2022-04-12 15:02,14
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-16.32,166.85,6.2,바누아투 포트빌라 북서쪽 222km 해역,2022-04-10 6:18,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.45,129.62,3.4,경북 영덕군 동쪽 23km 해역,2022-04-10 2:50,18
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.54,128.08,2.2,경북 상주시 북북서쪽 16km 지역,2022-04-09 11:00,19
2.02E+11,3,국외지진,2.02E+11,2.02E+13,37.8,141.6,5.4,일본 미야기현(혼슈) 센다이 남동쪽 83km 해역,2022-04-06 0:15,50
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-17.48,167.87,6,바누아투 포트빌라 서북서쪽 55km 해역 ,2022-04-05 1:32,33
2.02E+11,3,국외지진,2.02E+11,2.02E+13,37.3,141.6,5.1,일본 후쿠시마현(혼슈) 후쿠시마 동남동쪽 112km 해역,2022-04-04 19:39,40
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.69,129.35,2,경북 경주시 남남동쪽 22km 지역,2022-04-03 14:24,11
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-22.73,170.65,6.3,뉴칼레도니아 누메아 동쪽 435km 해역 ,2022-04-01 5:16,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-22.7,170.3,7.2, 뉴칼레도니아 누메아 동쪽 399km 해역 ,2022-03-31 15:06,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-22.72,170.28,6.7,뉴칼레도니아 누메아 동쪽 397km 해역 ,2022-03-31 6:22,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.9,126.4,5.5,일본 오키나와현 오키나와 서북서쪽 149km 해역,2022-03-30 2:47,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,42.3,143.1,5.1,일본 홋카이도 구시로 남서쪽 129km 지역,2022-03-27 8:26,60
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.2,5.6,일본 오키나와현 오키나와 서북서쪽 161km 해역,2022-03-27 1:09,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,38.5,97.33,6,중국 칭하이 하이시 북쪽 125km 지역,2022-03-26 1:58,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.44,121.46,5.3,대만 화롄 남쪽 58km 지역,2022-03-24 9:49,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.9,126.2,5.1,일본 오키나와현 오키나와 서북서쪽 166km 해역,2022-03-24 8:06,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.3,5.2,일본 오키나와현 오키나와 서북서쪽 152km 해역,2022-03-24 3:25,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.43,121.52,6.6,대만 화롄 남쪽 58km 해역,2022-03-23 2:53,31
2.02E+11,3,국외지진,2.02E+11,2.02E+13,10.82,-43.39,6.7,북대서양 중앙 해령 남쪽 해역,2022-03-23 2:04,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,25.6,124,5.9,일본 오키나와현 미야코지마시 북서쪽 158km 해역,2022-03-19 4:21,180
2.02E+11,3,국외지진,2.02E+11,2.02E+13,40,142.1,5.5,일본 이와테현(혼슈) 모리오카 동북동쪽 87km 해역,2022-03-18 23:35,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.3,5.9,일본 오키나와현 오키나와 서북서쪽 152km 해역,2022-03-17 20:48,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,25.8,123.9,5.3,일본 오키나와현 이리오모테섬 북쪽 150km 해역,2022-03-17 14:23,180
2.02E+11,3,국외지진,2.02E+11,2.02E+13,37.7,141.7,7.3,일본 미야기현(혼슈) 센다이 남동쪽 96km 해역,2022-03-16 23:56,33
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.7,125.06,2.3,전남 신안군 흑산도 남남서쪽 113km 해역,2022-03-16 18:23,
2.02E+11,1,지진정보,2.02E+11,2.02E+13,39.42,126.19,2,북한 평안남도 성천 북쪽 20km 지역,2022-03-15 1:05,12
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-0.68,98.6,6.6,인도네시아 파당 서쪽 197km 해역,2022-03-14 6:38,16
2.02E+11,3,국외지진,2.02E+11,2.02E+13,14.1,119.4,6.7,필리핀 올롱가포 남서쪽 125km 해역,2022-03-14 6:28,33
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.25,121.44,5.6,대만 화롄 남쪽 79km 해역,2022-03-09 21:32,35
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-58.68,-25.06,6.1,남대서양 사우스 샌드위치제도 해역,2022-03-07 5:42,24
2.02E+11,1,지진정보,2.02E+11,2.02E+13,37.31,129.54,2.5,강원 삼척시 동남동쪽 37km 해역,2022-03-06 18:45,18
2.02E+11,3,국외지진,2.02E+11,2.02E+13,24.81,122.23,5.1,대만 타이베이 동남동쪽 74km 해역,2022-03-06 13:21,109
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.39,127.13,2.4,충남 공주시 남쪽 6km 지역,2022-03-05 22:23,12
2.02E+11,1,지진정보,2.02E+11,2.02E+13,41.24,129.22,2.1,북한 함경북도 길주 북북서쪽 33km 지역,2022-03-04 3:19,29
2.02E+11,1,지진정보,2.02E+11,2.02E+13,41.25,129.28,2.1,북한 함경북도 길주 북쪽 33km 지역,2022-02-28 22:32,24
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.3,5.4,일본 오키나와현 오키나와 서북서쪽 152km 해역,2022-02-25 18:01,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,0.23,100.11,6.2,인도네시아 수마트라 파당 북북서쪽 135km 지역 ,2022-02-25 11:06,12
2.02E+11,1,지진정보,2.02E+11,2.02E+13,34,127.59,2.2,전남 여수시 거문도 동쪽 25km 해역,2022-02-24 12:13,21
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-69.77,165.41,6.6,남극 발레니 제도 남쪽 310km 해역 ,2022-02-22 8:59,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.9,126.4,5.9,일본 오키나와현 오키나와 서북서쪽 149km 해역,2022-02-22 6:08,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,14.19,-91.3,6.2,과테말라 에스쿠인틀라 서남서쪽 57km 지역,2022-02-16 16:41,84
2.02E+11,1,지진정보,2.02E+11,2.02E+13,41.29,129.23,2.5,북한 함경북도 길주 북북서쪽 38km 지역,2022-02-15 7:48,29
2.02E+11,1,지진정보,2.02E+11,2.02E+13,41.28,129.26,2.3,북한 함경북도 길주 북쪽 37km 지역,2022-02-14 20:40,18
2.02E+11,1,지진정보,2.02E+11,2.02E+13,41.27,129.24,2.3,북한 함경북도 길주 북북서쪽 36km 지역,2022-02-14 15:31,22
2.02E+11,1,지진정보,2.02E+11,2.02E+13,41.3,129.21,3.1,북한 함경북도 길주 북북서쪽 40km 지역,2022-02-11 11:19,17
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.29,126.59,2.2,전남 영광군 동북동쪽 7km 지역,2022-02-10 17:25,19
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.4,5.1,일본 오키나와현 오키나와 서북서쪽 143km 해역,2022-02-09 7:54,
2.02E+11,3,국외지진,2.02E+11,2.02E+13,26.8,126.4,5.6,일본 오키나와현 오키나와 서북서쪽 143km 해역,2022-02-09 1:47,
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-0.4,-19.87,6.1,대서양 중앙 해령,2022-02-08 21:34,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.07,125.06,2.9,전남 신안군 흑산도 북서쪽 55km 해역,2022-02-08 16:02,16
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-48.01,99.5,6.1,호주 퍼스 남서쪽 2243km 해역,2022-02-05 5:53,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,37.41,129.51,2.3,강원 삼척시 동쪽 31km 해역,2022-02-04 2:51,16
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-4.46,-76.94,6.5,페루 모요밤바 북쪽 176km 지역,2022-02-04 1:29,100
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.72,128.99,2.4,경북 청도군 동북동쪽 24km 지역,2022-02-02 12:09,19
2.02E+11,3,국외지진,2.02E+11,2.02E+13,5.49,-82.59,6.1,파나마 아레나스 남서쪽 282km 해역,2022-01-29 0:00,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,34.37,127.3,2.3,전남 고흥군 남쪽 26km 해역,2022-01-29 0:00,9
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-55.43,-28.77,6,남대서양 사우스 샌드위치제도 해역 ,2022-01-25 10:57,35
2.02E+11,3,국외지진,2.02E+11,2.02E+13,3.7,126.68,6,인도네시아 비퉁 북북동쪽 299km 해역,2022-01-22 11:51,24
2.02E+11,3,국외지진,2.02E+11,2.02E+13,32.7,132.1,6.4,일본 오이타현(규슈) 오이타 남동쪽 75km 해역,2022-01-22 1:20,40
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-6.45,154.82,6.1,파푸아뉴기니 부건빌 아라와 서남서쪽 86km 해역,2022-01-16 22:15,408
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-6.93,105.25,6.6,인도네시아 랑카스비퉁 서남서쪽 127km 해역,2022-01-14 18:31,37
2.02E+11,3,국외지진,2.02E+11,2.02E+13,35.15,31.91,6.6,키프로스 폴리스 서북서쪽 48km 해역,2022-01-11 10:28,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,37.77,101.26,6.9,중국 간쑤성 진창시 남서쪽 115km 지역 ,2022-01-08 3:23,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,11.95,-87.2,6.2,니카라과 코린토 남쪽 59km 해역,2022-01-07 1:48,28
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-4.8,125.05,6,인도네시아 카타부 동쪽 281km 해역,2022-01-05 6:24,556
2.02E+11,3,국외지진,2.02E+11,2.02E+13,27.1,142.5,6.3,일본 시즈오카현(혼슈) 시즈오카 남남동쪽 959km 해역,2022-01-04 6:23,70
2.02E+11,3,국외지진,2.02E+11,2.02E+13,24.02,122.18,6,대만 화롄 동쪽 64km 해역,2022-01-03 18:56,19
2.02E+11,1,지진정보,2.02E+11,2.02E+13,41.3,129.17,2.2,북한 함경북도 길주 북북서쪽 41km 지역,2021-12-30 18:50,14
2.02E+11,1,지진정보,2.02E+11,2.02E+13,41.31,129.21,2.3,북한 함경북도 길주 북북서쪽 41km 지역,2021-12-30 15:18,19
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-7.59,127.58,7.3,동티모르 로스팔로스 북북동쪽 121km 해역,2021-12-30 3:48,167
2.02E+11,3,국외지진,2.02E+11,2.02E+13,25.3,125.7,6,일본 오키나와현 오키나와 서남서쪽 223km 해역,2021-12-26 23:48,40
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-56.85,-24.09,6,사우스 샌드위치 제도 해역 ,2021-12-20 13:01,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-16.28,178.55,6.3,피지 라바사 서쪽 88km 해역,2021-12-20 1:51,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-47.1,33.46,6,남아프리카공화국 포트엘리자베스 남남동쪽 1598km 해역,2021-12-19 5:43,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-60.23,-23.85,6.1,사우스 샌드위치 제도 해역 ,2021-12-17 6:56,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.12,126.18,3.2,제주 서귀포시 서남서쪽 38km 해역,2021-12-17 6:27,18
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.79,127.8,2.3,경남 거창군 북서쪽 15km 지역,2021-12-15 22:07,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.14,126.15,2.8,제주 서귀포시 서남서쪽 40km 해역,2021-12-15 15:11,14
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.09,126.16,4.9,제주 서귀포시 서남서쪽 41km 해역,2021-12-14 17:24,17
2.02E+11,4,지진조기경보,2.02E+11,2.02E+13,33.15,126.24,5.3,제주 서귀포시 서남서쪽 32km 해역,2021-12-14 17:20,
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-7.8,122.3,7.6,인도네시아 마우메레 북쪽 91km 해역,2021-12-14 12:38,76
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-60.69,154.11,6.5,호주 매쿼리섬 남서쪽 720km 해역,2021-12-12 18:29,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,36.1,139.9,5,일본 고시가야 북북동쪽 25km 지역,2021-12-12 12:41,50
2.02E+11,3,국외지진,2.02E+11,2.02E+13,29.4,129.4,6,일본 가고시마현(규슈) 가고시마 남남서쪽 268km 해역,2021-12-09 11:19,20
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.85,125.51,2.6,전남 신안군 흑산도 남쪽 91km 해역,2021-12-09 11:03,17
2.02E+11,3,국외지진,2.02E+11,2.02E+13,4.07,128.14,6,인도네시아 토벨로 북쪽 259km 해역,2021-12-05 9:11,174
2.02E+11,1,지진정보,2.02E+11,2.02E+13,38.02,124.52,2.3,인천 옹진군 백령도 서북서쪽 16km 해역,2021-12-04 23:48,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,33.8,135.2,5.4,일본 와카야마현(혼슈) 와카야마 남쪽 48km 해역,2021-12-03 9:39,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,36.2,140,5,일본 도치기현(혼슈) 우쓰노미야 남남동쪽 41km 지역,2021-12-02 2:07,60
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-3.52,151.16,6,파푸아뉴기니 뉴아일랜드 남남동쪽 113km 해역 ,2021-11-30 20:05,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,31.1,142.8,6.6,일본 지바현(혼슈) 지바 남남동쪽 560km 해역,2021-11-29 21:53,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-4.5,-76.7,7.4,페루 바랑카 북쪽 36km 지역 ,2021-11-28 20:07,99
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-10.75,166.49,6,솔로몬 제도 라타 동쪽 75km 해역,2021-11-25 21:27,40
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.48,127.11,2.1,전북 순창군 북북서쪽 12km 지역,2021-11-22 5:24,7
2.02E+11,1,지진정보,2.02E+11,2.02E+13,33.85,124.77,2.2,전남 신안군 흑산도 남남서쪽 109km 해역,2021-11-19 2:40,11
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-5.32,153.67,6.2,파푸아뉴기니 코코포 남동쪽 189km 해역,2021-11-18 23:30,36
2.02E+11,3,국외지진,2.02E+11,2.02E+13,33.5,121.19,5,중국 상해 북쪽 254km 해역,2021-11-17 15:26,17
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.66,129.75,2.9,울산 동구 동북동쪽 35km 해역,2021-11-17 1:43,19
2.02E+11,1,지진정보,2.02E+11,2.02E+13,34.5,125.9,2.1,전남 진도군 서쪽 33km 해역,2021-11-16 20:58,8
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.06,125.06,2.1,전남 신안군 흑산도 북서쪽 54km 해역,2021-11-16 12:03,18
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-37.49,51.27,6,마다가스카르 톨라나로 남남동쪽 1440km 해역,2021-11-15 13:52,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,27.74,56.08,6.3,이란 반다르 아바스 북북서쪽 64km 지역,2021-11-14 21:33,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.15,129.38,2.1,경북 포항시 북구 북쪽 12km 지역,2021-11-12 1:37,8
2.02E+11,3,국외지진,2.02E+11,2.02E+13,23.3,126.6,6.6,일본 오키나와현 오키나와 남남서쪽 342km 해역,2021-11-11 0:55,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,11.23,-86.52,6.2,니카라과 마사차파 남쪽 61km 해역,2021-11-09 16:00,35
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-58.05,-25.32,6.1,사우스 샌드위치 제도 해역,2021-11-01 9:23,35
2.02E+11,3,국외지진,2.02E+11,2.02E+13,36.5,140.6,5.2,일본 이바라키현(혼슈) 미토 북동쪽 19km 지역,2021-11-01 6:22,60
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-58.34,-14.81,6,사우스 샌드위치 제도 해역,2021-10-26 15:12,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,24.53,121.79,6.5,대만 타이베이 남남동쪽 62km 지역,2021-10-24 14:21,67
2.02E+11,1,지진정보,2.02E+11,2.02E+13,36.9,128.22,2.4,충북 제천시 남쪽 26km 지역,2021-10-22 6:56,14
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-25.24,179.64,6,남태평양 피지 수바 남쪽 799km 해역 ,2021-10-21 17:43,497
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.9,129.75,2.2,경북 포항시 남구 동남동쪽 37km 해역,2021-10-19 22:18,22
2.02E+11,3,국외지진,2.02E+11,2.02E+13,34.57,28.39,6,그리스 로도스 남쪽 208km 해역,2021-10-19 14:59,38
2.02E+11,1,지진정보,2.02E+11,2.02E+13,40.41,127.27,2.8,북한 함경남도 장진 북동쪽 4km 지역,2021-10-19 7:12,
2.02E+11,1,지진정보,2.02E+11,2.02E+13,40.37,127.28,2.6,북한 함경남도 장진 동남동쪽 4km 지역,2021-10-19 7:00,
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-13.74,166.94,6.1,바누아투 산마 루간빌 북쪽 200km 해역,2021-10-18 16:55,97
2.02E+11,1,지진정보,2.02E+11,2.02E+13,41.26,129.45,2.4,북한 함경북도 길주 북북동쪽 36km 지역,2021-10-18 0:11,33
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-8.88,158.43,6.6,솔로몬제도 부알라 서남서쪽 151km 해역,2021-10-15 11:58,33
2.02E+11,3,국외지진,2.02E+11,2.02E+13,35.19,26.26,6.4,그리스 크레타섬 헤라클리온 동쪽 102km 지역,2021-10-12 23:48,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.1,125.06,2.1,전남 신안군 흑산도 북서쪽 58km 해역,2021-10-10 2:23,7
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-21.06,174.47,7,피지 나디 남서쪽 476km 해역,2021-10-09 20:17,524
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-58.78,158.45,6.1,뉴질랜드 크라이스트처치 남서쪽 1960km 해역,2021-10-08 5:45,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,35.6,140.1,6.1,일본 지바현(혼슈) 지바 남서쪽 1km 지역,2021-10-07 22:50,80
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.25,127.86,2.5,경남 하동군 북북동쪽 23km 지역,2021-10-06 22:00,13
2.02E+11,3,국외지진,2.02E+11,2.02E+13,25.7,125,5.5,일본 오키나와현 오키나와 서남서쪽 274km 해역,2021-10-06 3:15,20
2.02E+11,3,국외지진,2.02E+11,2.02E+13,40,142.4,6,일본 이와테현(혼슈) 모리오카 동북동쪽 111km 해역,2021-10-06 2:54,50
2.02E+11,3,국외지진,2.02E+11,2.02E+13,25.8,125,5.4,일본 오키나와현 오키나와 서쪽 272km 해역,2021-10-06 2:42,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-60.43,-27.51,6.2,사우스 샌드위치 제도 해역,2021-10-04 13:18,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-20.87,174.93,7.2,피지 수바 남서쪽 477km 해역,2021-10-02 15:47,487
2.02E+11,3,국외지진,2.02E+11,2.02E+13,38.8,135.5,6.1,일본 이시카와현(혼슈) 가나자와 북북서쪽 269km 해역,2021-09-29 17:49,400
2.02E+11,3,국외지진,2.02E+11,2.02E+13,35.25,25.26,6,그리스 크레타섬 헤라클리온 남동쪽 14km 지역,2021-09-27 15:46,9
2.02E+11,3,국외지진,2.02E+11,2.02E+13,24.32,121.69,5.7,대만 화롄 북북동쪽 43km 지역,2021-09-26 7:33,45
2.02E+11,1,지진정보,2.02E+11,2.02E+13,35.42,128.49,2.6,경남 창녕군 남쪽 14km 지역,2021-09-23 12:07,16
2.02E+11,3,국외지진,2.02E+11,2.02E+13,12.1,-87.8,6.7,니카라과 코린토 서남서쪽 80km 해역,2021-09-22 19:17,10
2.02E+11,3,국외지진,2.02E+11,2.02E+13,-36.79,-74.03,6.4,칠레 비오비오주 콘셉시온 서쪽 88km 해역,2021-09-21 22:41,13
2.02E+11,3,국외지진,2.02E+11,2.02E+13,45.8,153.5,6.5,일본 홋카이도 구시로 동북동쪽 789km 해역,2021-09-21 5:45,10
2.02E+11,1,지진정보,2.02E+11,2.02E+13,34.88,127.25,2.2,전남 보성군 북동쪽 20km 지역,2021-09-20 7:03,8
2.02E+11,3,국외지진,2.02E+11,2.02E+13,36.3,137.6,5,일본 도야마현(혼슈) 도야마 남동쪽 56km 지역,2021-09-19 17:26,10
